City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
saint-denis,48.92,2.33,37.99,86,90,6.93,FR,1609724469
ust-maya,60.42,134.53,-45.08,76,59,0.94,RU,1609724866
moyale,3.52,39.06,66.22,55,59,4.07,KE,1609724866
carauari,-4.88,-66.9,74.62,95,64,2.33,BR,1609724616
tautira,-17.73,-149.15,87.8,52,40,13.87,PF,1609724867
haileybury,47.45,-79.64,30.2,86,90,9.17,CA,1609724867
kitimat,54.05,-128.65,35.01,93,70,2.62,CA,1609724714
husavik,66.04,-17.34,46.4,65,90,39.15,IS,1609724470
petropavlovka,50.61,105.32,-12.95,80,100,5.1,RU,1609724867
juba,4.85,31.58,76.57,48,17,2.51,SS,1609724868
matagami,49.75,-77.63,28.4,92,90,6.93,CA,1609724849
bosobolo,4.18,19.9,70.39,81,100,0.96,CD,1609724868
sandwick,60.0,-1.25,37.4,69,66,2.24,GB,1609724868
petropavlovsk-kamchatskiy,53.05,158.65,19.4,52,100,2.24,RU,1609724471
saurimo,-9.66,20.39,64.42,97,100,2.21,AO,1609724869
constitucion,-35.33,-72.42,59.5,70,0,17.83,CL,1609724456
nalut,30.33,10.85,42.49,61,100,7.14,LY,1609724869
bagn,60.82,9.55,14.0,88,0,3.62,NO,1609724869
barcelos,41.54,-8.62,42.01,100,75,3.58,PT,1609724870
caninde,-4.36,-39.31,74.16,82,96,1.81,BR,1609724870
surgut,61.25,73.42,-29.2,73,20,4.47,RU,1609724822
orlik,52.52,99.83,-19.03,78,100,6.71,RU,1609724870
opuwo,-18.06,13.84,66.43,68,100,2.64,NA,1609724870
hay river,60.82,-115.8,-4.0,76,95,5.82,CA,1609724473
george,-33.96,22.46,68.0,100,55,9.17,ZA,1609724871
new albany,38.29,-85.82,39.2,81,90,3.47,US,1609724711
caravelas,-17.71,-39.25,76.15,88,100,6.13,BR,1609724474
lagoa formosa,-18.78,-46.41,62.01,100,2,1.83,BR,1609724872
mananjary,-21.22,48.33,70.9,84,0,3.36,MG,1609724872
yarensk,62.17,49.09,7.45,95,98,6.22,RU,1609724872
skjervoy,70.03,20.97,39.96,72,100,15.84,NO,1609724872
kloulklubed,7.04,134.26,86.0,74,75,12.75,PW,1609724872
port blair,11.67,92.75,80.6,74,40,5.82,IN,1609724873
pemangkat,1.17,108.97,80.13,82,74,3.94,ID,1609724645
camocim,-2.9,-40.84,78.53,83,70,11.07,BR,1609724873
le port,-20.94,55.29,75.2,64,20,13.87,RE,1609724873
koumac,-20.57,164.28,83.3,76,100,9.28,NC,1609724873
tecoanapa,16.52,-98.75,78.67,79,0,8.9,MX,1609724874
tombouctou,20.0,-3.0,64.17,25,0,6.51,ML,1609724874
bud,39.45,-86.18,33.01,90,100,2.48,US,1609724874
port-gentil,-0.72,8.78,80.24,81,100,9.93,GA,1609724874
nanortalik,60.14,-45.24,24.04,93,99,8.23,GL,1609724477
hervey bay,-25.3,152.85,84.2,62,75,10.29,AU,1609724477
neijiang,29.58,105.06,45.39,64,67,4.18,CN,1609724875
jining,35.41,116.58,36.72,79,0,1.97,CN,1609724785
tuntum,-5.26,-44.65,73.81,96,100,3.36,BR,1609724875
abnub,27.27,31.15,46.4,70,0,7.87,EG,1609724876
mogadishu,2.04,45.34,75.88,80,99,19.26,SO,1609724478
yatsuo,36.57,137.13,43.0,80,75,5.82,JP,1609724876
vallenar,-28.57,-70.76,65.21,62,0,1.66,CL,1609724876
conceicao do mato dentro,-19.04,-43.42,66.02,96,100,2.53,BR,1609724877
mersin,36.86,34.65,46.4,75,0,2.24,TR,1609724877
formosa,-26.18,-58.18,80.6,78,0,2.24,AR,1609724733
valdivia,-39.81,-73.25,62.6,63,0,10.29,CL,1609724878
khatanga,71.97,102.5,-3.24,92,100,10.4,RU,1609724878
fare,-16.7,-151.02,81.54,72,81,14.29,PF,1609724480
berlevag,70.86,29.09,32.07,96,95,15.52,NO,1609724878
kudahuvadhoo,2.67,72.89,81.66,80,69,10.58,MV,1609724879
sabang,5.89,95.32,79.97,83,100,14.25,ID,1609724480
yumen,40.28,97.2,6.51,74,53,9.44,CN,1609724481
krasnoselkup,65.7,82.47,-21.3,86,23,7.92,RU,1609724481
narkevychi,49.52,26.64,43.57,93,100,9.04,UA,1609724880
bilma,18.69,12.92,67.44,24,0,4.38,NE,1609724880
xintai,35.9,117.75,33.53,89,5,2.86,CN,1609724880
cuamba,-14.8,36.54,67.41,95,96,1.7,MZ,1609724880
benghazi,32.12,20.07,63.14,60,100,27.25,LY,1609724880
butembo,0.15,29.28,57.33,96,54,1.52,CD,1609724881
victor harbor,-35.57,138.62,66.0,71,100,11.01,AU,1609724881
sosnovo-ozerskoye,52.52,111.54,-9.29,88,100,15.5,RU,1609724881
lamar,33.67,-95.58,51.8,53,1,6.11,US,1609724881
axim,4.87,-2.24,78.51,83,4,7.09,GH,1609724882
mahibadhoo,3.78,72.97,81.36,80,1,10.67,MV,1609724882
dutse,11.76,9.34,68.54,23,0,6.22,NG,1609724882
kasama,-10.21,31.18,58.42,99,21,1.52,ZM,1609724883
coihaique,-45.58,-72.07,51.8,57,3,2.24,CL,1609724604
tinskoy,56.15,96.92,-14.21,85,100,13.65,RU,1609724883
likhoslavl,57.13,35.46,30.52,99,100,4.7,RU,1609724883
lakes entrance,-37.88,147.98,75.99,64,86,1.01,AU,1609724884
berezovyy,51.67,135.7,-14.42,74,5,1.88,RU,1609724884
labuhan,-6.88,112.21,82.9,72,100,4.94,ID,1609724485
barabai,-2.58,115.38,83.86,74,100,1.25,ID,1609724884
kalamazoo,42.25,-85.55,33.8,80,90,5.82,US,1609724884
verkhnyaya inta,65.98,60.31,-3.78,91,2,5.17,RU,1609724885
sola,-13.88,167.55,83.43,73,100,10.2,VU,1609724885
padang,-0.95,100.35,77.0,83,40,1.12,ID,1609724486
sale,34.04,-6.82,43.0,93,4,7.23,MA,1609724885
mitsamiouli,-11.38,43.28,82.11,76,100,9.73,KM,1609724886
isiro,2.77,27.62,65.62,97,46,1.88,CD,1609724886
vardo,70.37,31.11,31.55,94,86,8.03,NO,1609724487
te anau,-45.42,167.72,64.98,58,56,5.39,NZ,1609724886
kashira,54.84,38.17,32.0,97,90,8.95,RU,1609724887
mantua,45.17,10.78,41.0,97,100,1.39,IT,1609724887
fort nelson,58.81,-122.7,-5.8,83,75,1.83,CA,1609724488
asau,46.43,26.4,41.0,76,100,1.21,RO,1609724488
la ronge,55.1,-105.28,21.2,100,73,2.24,CA,1609724887
sile,41.18,29.61,50.0,66,0,2.24,TR,1609724888
mimongo,-1.62,11.61,69.17,94,99,1.63,GA,1609724888
kotaparh,19.15,82.35,61.32,57,0,2.55,IN,1609724888
barra patuca,15.8,-84.28,77.22,84,0,11.32,HN,1609724889
waddan,29.16,16.14,56.79,80,77,8.81,LY,1609724889
victoria,22.29,114.16,64.99,54,86,7.43,HK,1609724287
kununurra,-15.77,128.73,89.6,70,48,8.05,AU,1609724889
mackay,-21.15,149.2,84.2,74,100,10.29,AU,1609724889
maracacume,-2.04,-45.96,72.95,96,100,2.77,BR,1609724890
narrabri,-30.32,149.78,78.8,65,75,20.8,AU,1609724890
pandan,14.05,124.17,82.02,80,53,14.29,PH,1609724890
namibe,-15.2,12.15,70.68,78,62,4.38,AO,1609724491
umm lajj,25.02,37.27,70.61,66,0,7.87,SA,1609724491
manzanillo,20.34,-77.12,71.82,74,0,3.11,CU,1609724491
lata,40.16,-8.33,44.01,100,75,3.36,PT,1609724491
concepcion del oro,24.63,-101.42,44.44,49,0,2.82,MX,1609724891
linhares,-19.39,-40.07,72.84,96,100,2.15,BR,1609724891
malakal,9.53,31.66,74.93,28,100,5.5,SS,1609724891
waipawa,-41.41,175.52,71.01,68,6,17.22,NZ,1609724492
sinnamary,5.38,-52.95,76.95,88,100,11.39,GF,1609724892
neepawa,50.23,-99.47,35.6,74,90,19.46,CA,1609724892
brae,60.4,-1.35,41.0,60,29,5.01,GB,1609724892
vila do maio,15.13,-23.22,69.8,88,20,9.17,CV,1609724893
taicheng,38.73,113.23,18.88,81,0,3.71,CN,1609724893
sangar,63.92,127.47,-41.93,80,100,1.36,RU,1609724893
acari,-15.43,-74.62,71.85,72,77,3.06,PE,1609724893
flin flon,54.77,-101.86,18.73,97,100,5.88,CA,1609724894
arman,59.7,150.17,-4.67,88,100,12.91,RU,1609724894
zheshart,62.07,49.57,7.0,95,94,6.11,RU,1609724494
vilhena,-12.74,-60.15,69.6,97,40,6.06,BR,1609724894
ryazhsk,53.7,40.11,23.29,97,100,8.5,RU,1609724895
bantry,51.68,-9.45,32.0,92,40,13.87,IE,1609724895
upata,8.01,-62.4,77.0,77,2,5.99,VE,1609724895
antalaha,-14.9,50.28,70.41,86,40,7.29,MG,1609724895
marfino,55.7,37.38,32.0,98,90,6.71,RU,1609724895
bandarbeyla,9.49,50.81,72.45,79,45,12.39,SO,1609724896
saint-michel-des-saints,46.68,-73.92,20.61,97,100,2.75,CA,1609724896
suntar,62.14,117.63,-28.57,85,95,4.27,RU,1609724897
hellin,38.51,-1.7,33.8,80,75,8.05,ES,1609724897
matay,28.42,30.78,54.05,78,0,7.67,EG,1609724897
burnie,-41.07,145.92,60.13,83,100,7.85,AU,1609724898
havoysund,71.0,24.66,37.4,92,75,23.04,NO,1609724497
half moon bay,37.46,-122.43,53.01,100,90,4.7,US,1609724497
binzhou,37.37,118.02,31.33,91,21,4.0,CN,1609724898
tura,25.52,90.22,62.96,68,8,2.06,IN,1609724898
alberton,46.82,-64.07,26.6,73,46,2.24,CA,1609724899
severo-yeniseyskiy,60.37,93.04,-28.93,87,100,2.21,RU,1609724498
itaituba,-4.28,-55.98,74.55,96,100,0.38,BR,1609724499
ndjole,-0.18,10.76,74.66,94,100,1.1,GA,1609724899
guaruja,-23.99,-46.26,75.0,26,100,4.0,BR,1609724499
biskamzha,53.45,89.53,-15.57,84,100,4.79,RU,1609724900
tukrah,32.53,20.58,64.13,50,100,35.61,LY,1609724900
klobuck,50.9,18.94,33.01,81,100,3.18,PL,1609724900
namie,37.48,141.0,45.0,54,0,6.26,JP,1609724900
aksu,41.12,80.26,10.11,91,0,3.85,CN,1609724901
fenoarivo,-18.93,47.44,60.8,82,75,9.17,MG,1609724901
preobrazheniye,42.9,133.91,8.6,76,0,8.21,RU,1609724901
kahului,20.89,-156.47,80.6,57,40,23.04,US,1609724901
kiruna,67.86,20.23,12.2,92,100,9.17,SE,1609724901
promissao,-21.54,-49.86,71.38,83,0,14.12,BR,1609724902
sokoni,-6.43,39.55,81.01,79,100,6.6,TZ,1609724501
la mira,18.04,-102.33,74.5,71,0,2.42,MX,1609724902
xining,36.62,101.77,14.58,61,0,2.28,CN,1609724871
